Symbol,Price,Trend_Pass,MA50,MA150,MA200,Pct_Above_52w_Low,Pct_Below_52w_High,Is_VCP,VCP_Quality,Num_Contractions,Final_Contraction,Volume_Dry_Up,Vol_Ratio,Pivot_Price
MMM,155.51,False,155.55,159.2,157.42,25.6,10.5,False,Filtered (trend template failed),6,0.62,True,0.63,152.79
AOS,65.9,False,70.7,69.37,69.58,9.0,18.1,False,Filtered (trend template failed),6,2.65,True,0.88,67.27
ABT,96.61,False,107.35,118.77,121.16,1.2,28.6,False,Fail,6,3.15,True,0.83,102.91
ABBV,211.14,False,217.45,220.25,213.8,28.1,11.6,False,Filtered (trend template failed),6,2.79,True,0.81,210.65
ACN,196.93,False,203.63,237.44,243.85,9.7,38.2,False,Fail,6,10.07,True,0.77,199.64
ADBE,245.03,False,254.06,307.94,320.54,8.7,41.8,False,Fail,6,7.78,True,0.78,244.36
AMD,277.07,False,212.11,215.85,202.45,223.8,0.4,False,Filtered (trend template failed),6,11.0,False,1.19,220.27
AES,14.47,False,14.9,14.2,13.81,56.1,16.3,False,Fail,6,0.28,True,0.56,14.43
AFL,115.29,False,111.42,109.89,108.04,19.4,1.3,False,Fail,6,6.82,False,1.16,113.07
A,120.54,False,118.26,132.7,129.24,21.2,23.0,False,Filtered (trend template failed),6,3.47,True,0.85,113.94
APD,292.63,False,284.46,265.61,270.7,28.5,2.0,False,Fail,6,0.91,False,0.95,298.71
ABNB,141.74,False,128.85,127.19,128.1,27.1,0.3,False,Filtered (trend template failed),6,7.33,True,0.76,131.4
AKAM,95.12,False,104.52,90.77,87.39,34.9,20.2,False,Fail,6,24.71,False,1.25,118.0
ALB,196.35,True,173.19,139.21,123.25,280.1,8.9,True,B (2-step valid VCP),6,4.98,True,0.74,181.39
ARE,48.75,False,49.21,56.15,60.94,14.4,41.6,False,Filtered (trend template failed),6,4.97,False,0.99,44.84
ALGN,191.97,False,179.81,157.81,159.11,53.7,7.3,False,Filtered (trend template failed),6,3.39,True,0.67,172.73
ALLE,145.94,False,153.1,162.23,162.16,19.3,18.5,False,Fail,6,5.48,True,0.89,147.21
LNT,72.35,False,71.14,67.63,66.54,25.9,1.9,False,Fail,6,5.92,False,0.91,73.72
ALL,216.28,False,208.51,204.37,202.79,18.0,0.9,False,Filtered (trend template failed),6,2.43,True,0.85,207.76
GOOGL,338.23,True,307.71,296.44,272.22,129.8,1.5,True,"C (Structure valid, needs tightening)",6,12.04,False,0.98,310.92
GOOG,335.66,True,306.9,296.59,272.53,124.8,2.6,True,"C (Structure valid, needs tightening)",6,11.72,False,1.1,309.41
MO,64.4,False,65.83,61.41,61.02,22.4,6.1,False,Filtered (trend template failed),6,2.3,False,1.13,67.46
AMZN,254.01,False,214.31,225.27,225.6,51.8,0.0,False,Fail,6,5.84,True,0.87,211.71
AMCR,42.02,False,43.56,41.98,42.79,10.3,15.8,False,Filtered (trend template failed),6,4.08,True,0.73,42.37
AEE,111.82,False,109.94,104.05,102.44,22.0,2.2,False,Fail,6,6.03,False,1.11,114.32
AEP,133.27,True,130.61,120.53,117.3,38.5,2.8,False,Fail,6,6.33,False,1.47,137.15
AXP,338.66,False,317.22,342.07,334.22,41.1,11.5,False,Fail,6,3.22,True,0.82,301.05
AIG,79.07,False,77.04,77.56,77.94,10.6,8.2,False,Fail,6,3.34,False,1.11,75.47
AMT,181.43,False,179.25,179.03,185.73,9.5,19.7,False,Filtered (trend template failed),6,1.53,True,0.86,179.15
AWK,130.38,False,134.02,132.53,134.44,6.8,10.5,False,Filtered (trend template failed),6,2.49,True,0.78,139.25
AMP,462.55,False,461.53,475.63,485.02,7.5,15.0,False,Fail,6,4.76,True,0.79,451.89
AME,236.67,True,225.6,207.49,201.18,53.4,1.8,False,Fail,6,0.4,True,0.73,234.91
AMGN,354.99,False,363.3,330.1,319.42,39.6,8.5,False,Fail,6,3.94,False,0.93,355.6
APH,151.29,True,137.28,135.62,128.29,139.6,8.8,False,Fail,6,8.82,False,1.02,130.67
ADI,369.46,True,331.13,284.35,272.38,114.4,0.0,False,Fail,6,5.88,True,0.87,351.36
AON,335.12,False,325.27,341.07,346.53,8.1,10.7,False,Fail,6,5.21,False,1.1,329.76
APA,34.18,False,34.51,27.65,25.72,133.9,23.0,False,Fail,6,6.85,False,1.46,43.02
APO,124.74,False,113.55,127.54,130.81,24.4,19.1,False,Filtered (trend template failed),6,6.41,True,0.63,111.42
AAPL,271.57,False,260.58,262.4,251.83,41.2,5.0,False,Filtered (trend template failed),6,0.64,True,0.85,260.49
AMAT,394.38,True,358.22,285.7,258.75,193.5,1.3,True,"C (Structure valid, needs tightening)",6,13.6,False,0.96,399.49
APP,482.59,False,429.6,554.45,520.05,111.5,34.2,False,Filtered (trend template failed),6,8.13,True,0.86,412.68
APTV,61.23,False,71.29,77.72,76.56,20.7,30.9,False,Fail,6,17.98,False,1.08,70.98
ACGL,97.99,False,96.87,93.49,92.54,15.7,3.9,False,Filtered (trend template failed),6,2.9,False,0.97,98.84
ADM,66.39,False,69.38,63.38,61.72,49.0,10.1,False,Fail,6,8.73,False,1.67,73.83
ARES,119.94,False,113.0,142.02,150.84,26.0,36.1,False,Filtered (trend template failed),6,7.92,True,0.86,109.1
ANET,162.93,False,136.16,137.19,134.24,140.8,0.0,False,Fail,6,16.82,True,0.86,139.62
AJG,223.35,False,217.25,249.53,261.95,9.4,35.3,False,Filtered (trend template failed),6,4.45,True,0.83,216.74
AIZ,228.8,False,222.05,223.17,216.99,26.4,5.6,False,Filtered (trend template failed),6,1.95,True,0.7,223.69
T,26.47,False,27.6,25.86,26.22,16.3,8.1,False,Fail,6,6.28,False,1.07,28.8
ATO,185.24,False,183.37,174.03,170.04,24.4,3.7,False,Fail,6,4.29,False,1.35,192.29
ADSK,243.78,False,239.72,277.93,283.51,11.6,25.4,False,Fail,6,9.23,False,1.21,240.65
ADP,199.84,False,209.25,245.48,258.45,5.9,37.3,False,Fail,6,8.12,True,0.74,205.47
AZO,3599.53,False,3574.71,3713.42,3777.2,10.9,17.3,False,Filtered (trend template failed),6,2.33,False,0.91,3548.19
